season;year;question_number;question_text;option_A;option_B;option_C;correct_answer
summer;2024;5;Hvor mange kommuner er der i Danmark?;37;98;165;B
summer;2024;6;Fra hvilket land kom der særligt mange indvandrere til Danmark i slutningen af 1960’erne?;Rumænien;Syrien;Tyrkiet;C
summer;2024;7;Hvad kendetegnede blandt andet 1960’erne?;Danmark blev besat af tyske tropper;Danmark havde høj økonomisk vækst;Danmark havde kolonier i Afrika og Caribien;B
summer;2024;8;Hvilket af følgende lande var i union med Danmark over 400 år frem til 1814?;Sverige;Finland;Norge;C
summer;2024;9;Hvilket parti sad i regering flest år mellem 1929 og 1982?;Socialdemokratiet;Venstre;Det Konservative Folkeparti;A
summer;2024;10;Hvem er den øverste politiske leder af en kommune?;En kommunaldirektør;En borgmester;;B
summer;2024;11;Hvilken type vedvarende energi producerer den største andel af Danmarks el-forbrug?;Vindenergi;Solenergi;Bølgeenergi;A
summer;2024;12;Hvor højt er Danmarks højeste naturlige punkt?;Cirka 170 meter;Cirka 460 meter;Cirka 750 meter;A
summer;2024;13;Hvor ligger Danmarks femtestørste by, Esbjerg?;I Nordjylland;I Østjylland;I Vestjylland;C
summer;2024;14;På hvilke klassetrin kan man vælge at gå på efterskole?;0., 1. og 2. klasse;4., 5. og 6. klasse;8., 9. og 10. klasse;C
summer;2024;15;Hvor gammel skal man mindst være for at købe cigaretter i Danmark?;16 år;18 år;20 år;B
summer;2024;16;Hvilket område samarbejdes der primært om i NATO?;Handelspolitik;Flygtningepolitik;Forsvarspolitik;C
summer;2024;17;Hvor blev danske soldater udsendt til i 1990'erne som en del af FN's styrker?;Afghanistan;Bosnien;Libyen;B
summer;2024;18;Hvor skete der et terrorangreb i 2015?;Christiansborg;Københavns Lufthavn;Københavns Synagoge;C
summer;2024;19;Hvor ofte skal der være valg til Folketinget?;Hvert fjerde år;Hvert femte år;Hvert sjette år;A
summer;2024;20;Hvor stor en andel af Folketingets medlemmer er kvinder?;Cirka 25 procent;Cirka 35 procent;Cirka 45 procent;C
summer;2024;21;Hvor stor en del af borgere med stemmeret stemmer normalt, når der er folketingsvalg?;40-50 procent;60-70 procent;80-90 procent;C
summer;2024;22;For hvilken film vandt Thomas Vinterberg en Oscar i 2021?;Druk;Hævnen;Nattevagten;A
summer;2024;23;Er det gratis at låne bøger på landets folkebiblioteker?;Ja;Nej;;A
summer;2024;24;Hvad er den mest almindelige arbejdstid, hvis man er ansat på fuld tid?;32 timer om ugen;37 timer om ugen;43 timer om ugen;B
summer;2024;25;Kan man gifte sig med en person af samme køn i Danmark?;Ja;Nej;;A
